id,channel_id,profile_pic,name,subscriber_count,timestamp
1,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,11900,2023-04-01 08:07:33
47,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,11900,2023-04-01 08:19:20
93,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,11900,2023-04-01 08:23:45
139,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,11900,2023-04-02 00:03:35
185,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,11900,2023-04-03 00:03:16
231,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,12000,2023-04-04 00:03:40
277,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,12000,2023-04-05 00:03:15
323,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,12000,2023-04-06 00:03:51
369,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,12000,2023-04-07 00:03:38
415,UC1cExET9xoWSO9iSnRsW_1Q,https://yt3.ggpht.com/Z7l7b-W6ygHf9H584Gn-gCpFm6qSua2MJYpSUzyU13ofdJsEXI6qPY4z239Id0Os5F5JT2CVrg=s800-c-k-c0x00ffffff-no-rj,Shisui Michiru,12000,2023-04-08 00:03:55
