id,channel_id,profile_pic,name,subscriber_count,timestamp
3,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23400,2023-04-01 08:07:33
49,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23400,2023-04-01 08:19:20
95,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23400,2023-04-01 08:23:45
141,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23400,2023-04-02 00:03:35
187,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23400,2023-04-03 00:03:16
233,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23500,2023-04-04 00:03:40
279,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23500,2023-04-05 00:03:15
325,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23500,2023-04-06 00:03:51
371,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23600,2023-04-07 00:03:39
417,UC5qlAhrec6-0J-K3zmhNPPQ,https://yt3.ggpht.com/WPxeVddMn6y4Yk5k63LO-XQ1VQp-BoOFq0NILeTfKbIXRxwxg6IqD5GQoO2siTfXY9nmg9NjMg=s800-c-k-c0x00ffffff-no-rj,Chisaka Airi,23700,2023-04-08 00:03:55
