id,channel_id,profile_pic,name,subscriber_count,timestamp
13,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,23900,2023-04-01 08:07:33
59,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,23900,2023-04-01 08:19:20
105,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,23900,2023-04-01 08:23:46
151,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,23900,2023-04-02 00:03:36
197,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24000,2023-04-03 00:03:16
243,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24000,2023-04-04 00:03:41
289,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24000,2023-04-05 00:03:15
335,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24100,2023-04-06 00:03:51
381,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24100,2023-04-07 00:03:39
427,UCupmjRr7kPgzXKh-cPxxGbg,https://yt3.ggpht.com/9xQ1dCrwG1jkO_xUBWZbq3pS7ZLGF2YFb_5C4_JVmhZG4HnnmWh65Fhtcu65qGRz6T3oWov_=s800-c-k-c0x00ffffff-no-rj,Erina Makina,24200,2023-04-08 00:03:56
