id,channel_id,profile_pic,name,subscriber_count,timestamp
6,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26600,2023-04-01 08:07:33
52,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26600,2023-04-01 08:19:20
98,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26600,2023-04-01 08:23:45
144,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26700,2023-04-02 00:03:36
190,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26800,2023-04-03 00:03:16
236,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,26900,2023-04-04 00:03:41
282,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,27000,2023-04-05 00:03:15
328,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,27000,2023-04-06 00:03:51
374,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,27000,2023-04-07 00:03:39
420,UC-hMwvRuMsQrfgu0DPKLV2A,https://yt3.ggpht.com/t75SVFXBoJxvGDu-1AxSXiMxPjnIkGd0OPgnQ91yVAIDiE8-hGMj5pGb1dBgu2yD9uB6oRyrsw=s800-c-k-c0x00ffffff-no-rj,Remilia Nephys,27100,2023-04-08 00:03:55
